"DEVELOPMENT SERVICE CONTRACT","None","None"
"Service Contract for Development and Design","None","None"
"Definitions","None","None"
"Developer: ____________________","Definition-None","None"
"Client: ____________________","Definition-None","None"
"Services: ____________________","Definition-None","None"
"Product: ____________________","Definition-None","None"
"Intangibles: ____________________","Definition-None","None"
"Terms","None","None"
"1. Rate:","None","None"
"Services shall be billed to the Client at the rate of $____________________ USD per hour.","None","Payment Terms & Billing"
"2. Payment:","None","None"
"The Client shall send payment to the Developer within ____________________ days of receiving an invoice.","Obligation-Client","Payment Terms & Billing"
"1. Late Payment:","None","None"
"If a payment is more than ____________________ days late, no Services will be performed for the Client until payment is received.","None","Payment Terms & Billing"
"3. Billable Time:","None","None"
"All time spent performing Services and communicating with the Client is billable.","None","None"
"1. Estimations:","None","None"
"If an estimate is requested by the Client, the first ____________________ minutes of time spent preparing the estimate will not be billable.","None","None"
"Time spent on an estimate beyond ____________________ minutes will be billable at the normal rate.","None","None"
"4. Copyright:","None","None"
"Copyright of all Products created while performing Services for the Client will be transferred to the Client upon receipt of payment in full, except in the cases described below.","None","Intellectual Property"
"Copyright of all Products created while performing Services for the Client will be transferred to the Client upon receipt of payment in full, except in the cases described below.","None","Payment Terms & Billing"
"5. Copyright Exceptions","None","None"
"1. The Developer reserves the right to reuse and re-license portions of the created Product as desired, as long as the portions are general solutions to common problems and are not specific to the Clients product.","None","None"
"2. Any portions of the Product whose copyright is withheld by the developer are licensed to the Client for use in the Product under the MIT license:","None","Intellectual Property"
"http://www.opensource.org/licenses/mit-license.php","None","None"
"3.","None","None"
"5.","None","None"
"3. The Client will only be billed for portions of the Product which were created during the effective period of this contract and created while performing Services for the Client.","Right-Client","Payment Terms & Billing"
"6. Intangible Property:","None","None"
"The Developer retains ownership of all Intangibles gained by the Developer (that are not previously owned by the Client) while providing Services.","None","Intellectual Property"
"7. Termination:","None","None"
"Either party must give at least ____________________ days notice to the other party before termination.","Obligation-All Parties","Communication"
"Either party must give at least ____________________ days notice to the other party before termination.","Obligation-All Parties","Term & Termination"
"This contract may only be terminated after all outstanding invoices have been paid in full.","None","Payment Terms & Billing"
"This contract may only be terminated after all outstanding invoices have been paid in full.","None","Term & Termination"
"8. Changes:","None","None"
"Either party may request to modify the terms of this contract at any time.","Right-All Parties","None"
"When both parties consent to new terms and a new contract is signed, this contract is terminated immediately.","None","Term & Termination"
