Address of The Home,1,joy,0.586619,positive
Tenant,20,anger,0.57807,negative
last month of the Tenant,1,joy,0.566646,negative
security deposit,2,anger,0.558959,negative
Owner,28,anger,0.55061,negative
Direct Deposit,1,anger,0.550172,neutral
s Stuff Left BehindTenant,1,sadness,0.548854,negative
s consent,1,joy,0.548837,negative
Start DateThis Agreement,1,joy,0.544698,positive
last day of the month,1,joy,0.540601,positive
Payment of RentTenants,1,joy,0.539909,negative
days of the damage,1,anger,0.53782,negative
Tenant's bank,1,sadness,0.536579,neutral
s security deposit,1,anger,0.536337,negative
RENTAL AGREEMENTThis,1,joy,0.533225,neutral
property of the Owner,1,anger,0.528525,negative
Internet Access,1,anger,0.527919,negative
Conflict resolutionEach Tenant,1,anger,0.526923,negative
Paint DisclosureTenant,1,anger,0.526078,neutral
terms of Berkeley Law,1,joy,0.525558,negative
Tenant moves,1,sadness,0.524598,negative
kitchen floor cleaning,1,anger,0.521268,negative
personal property,3,anger,0.520754,negative
Online Payments,1,sadness,0.520557,neutral
agreement,10,joy,0.520484,neutral
colorthe Owner,1,anger,0.520405,negative
household harmony,1,joy,0.519833,neutral
Water-Sofas,2,disgust,0.519152,negative
separate entrance,1,fear,0.518301,positive
acts of public authorities,1,anger,0.518293,negative
fullamount of rent,1,joy,0.518192,negative
Start Date of this lease,1,joy,0.51816,positive
PG&E,2,joy,0.518156,neutral
first months,1,joy,0.51753,neutral
removal of trash,1,anger,0.517514,negative
such deductions,1,anger,0.516498,positive
single stay,1,joy,0.516309,negative
Start Date,1,joy,0.515808,neutral
s agents,2,anger,0.514777,negative
Costs section,1,anger,0.513653,negative
street level,1,fear,0.513449,positive
daily chores,2,anger,0.51343,neutral
illegal drugs,1,anger,0.513384,negative
law,3,anger,0.513082,positive
breach of this Agreement,1,joy,0.512707,negative
Local law,1,sadness,0.512295,negative
bythe Tenants,1,anger,0.512195,negative
Rent,4,sadness,0.511911,negative
Vintage Collectables,1,disgust,0.511839,negative
due date,1,anger,0.51145,negative
